task_id,task_name,primary_skill,secondary_skill,complexity_level,estimated_hours,required_experience,team_size,dependencies,critical_path,resource_notes,alternative_approach
TASK-PERSIST-011,"Unit Test `SimpleXorDataProtector` Roundtrip",Quality Assurance,Backend Development,Medium,5,Mid,1,"TASK-PERSIST-004,TASK-PERSIST-010",False,"Happy-path testing to ensure the basic functionality works. Should test with empty strings, simple JSON, and complex nested JSON.",""
TASK-PERSIST-012,"Unit Test `SimpleXorDataProtector` Tamper Detection",Quality Assurance,Backend Development,High,10.2,Senior,1,"TASK-PERSIST-004,TASK-PERSIST-010",False,"Critical security testing. Requires a developer or QA with an adversarial mindset to create a comprehensive suite of tests for various data tampering scenarios.","Use property-based testing (e.g., with FsCheck) to automatically generate hundreds of slightly-tampered inputs to find subtle edge cases."
TASK-PERSIST-013,"Implement `MigrationService`",Backend Development,Data Engineering,High,10.3,Senior,2,"TASK-PERSIST-002,TASK-PERSIST-014",True,"Complex orchestration logic. Requires a Senior developer comfortable with LINQ, dynamic JSON manipulation (JObject), and the Strategy Pattern. Pair programming recommended per RISK-PERSIST-007.","Instead of manual JObject manipulation, use JSON Patch (RFC 6902) to define migrations declaratively, which can be less error-prone."
TASK-PERSIST-014,"Implement Example `MigrationScript_V1_to_V2`",Backend Development,,Medium,5,Mid,1,TASK-PERSIST-002,True,"Serves as the template and proof-of-concept for all future migration scripts. The resource should focus on creating a clean, readable, and defensive implementation.",""
TASK-PERSIST-015,"Unit Test `MigrationService` Scenarios",Quality Assurance,Backend Development,Critical,12,Senior,1,"TASK-PERSIST-004,TASK-PERSIST-013",False,"Very important test suite. Requires extensive use of mocking (Moq) to simulate different migration scripts and test all orchestration logic paths (no-op, single-step, multi-step, broken chain).",""
TASK-PERSIST-016,"Implement `PersistenceService.SavePlayerProfileAsync`",Backend Development,,Medium,7,Mid,1,"TASK-PERSIST-002,TASK-PERSIST-003,TASK-PERSIST-005,TASK-PERSIST-007,TASK-PERSIST-009",False,"This is a facade orchestration task. The developer must ensure the sequence of calls to dependencies (serialize, protect, wrap, serialize, write) is exactly as specified in the SDS.",""
TASK-PERSIST-017,"Unit Test `PersistenceService.SavePlayerProfileAsync`",Quality Assurance,Backend Development,Medium,7.5,Mid,1,"TASK-PERSIST-004,TASK-PERSIST-016",False,"Pure orchestration test. All dependencies must be mocked to verify that the `PersistenceService` is correctly delegating tasks in the right order.",""
TASK-PERSIST-018,"Implement `PersistenceService.LoadPlayerProfileAsync`",Backend Development,,Critical,12,Senior,1,"TASK-PERSIST-010,TASK-PERSIST-013,TASK-PERSIST-016",True,"The most complex method in the system. Requires a Senior developer to correctly implement the sequence and, most importantly, the robust try-catch-log-recover logic.","Break down the load process into a chain of smaller, single-responsibility methods (e.g., `ReadAndUnwrap`, `UnprotectAndParse`, `MigrateData`) to reduce the cyclomatic complexity of the main method."
TASK-PERSIST-019,"Unit Test `LoadPlayerProfileAsync` Happy Path",Quality Assurance,Backend Development,Medium,6,Mid,1,"TASK-PERSIST-004,TASK-PERSIST-018",False,"Verifies the successful end-to-end orchestration of the load process using mocked dependencies.",""
TASK-PERSIST-020,"Unit Test `LoadPlayerProfileAsync` Failure & Edge Cases",Quality Assurance,Backend Development,High,11.2,Senior,1,"TASK-PERSIST-004,TASK-PERSIST-018,TASK-PERSIST-019",True,"Critical testing to ensure the system is resilient. A Senior QA or developer must test all specified failure modes to guarantee the game never crashes on a bad save file.",""
TASK-PERSIST-021,"Implement Automatic Pre-Migration Backup",Backend Development,DevOps,Medium,4.2,Mid,1,TASK-PERSIST-018,True,"A key resilience feature. The developer must add file copy/rename logic to the repository and call it at the correct point in the `LoadPlayerProfileAsync` method.","Instead of a simple `.bak` file, create a versioned backup (e.g., `profile.dat.v1.bak`) to provide a more robust recovery path if multiple failed migrations occur."
TASK-PERSIST-022,"Implement In-Progress State Methods in `PersistenceService`",Backend Development,,Medium,7.2,Mid,1,TASK-PERSIST-018,False,"These synchronous methods are simpler than the main profile save/load but must be implemented carefully to be fast and to handle file I/O errors gracefully (e.g., returning null instead of crashing).",""
TASK-PERSIST-023,"Unit Test In-Progress State Methods",Quality Assurance,Backend Development,High,8.5,Mid,1,"TASK-PERSIST-004,TASK-PERSIST-022",False,"Tests must verify synchronous calls and ensure that methods like `LoadInProgressState` correctly return null when the underlying serializer or repository throws an exception.",""
