Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Implement Puzzle methods for interaction","Implement the `ApplyMove` and `IsSolved` methods. `ApplyMove` must validate the move using the grid, apply it if valid, add it to history, and return a `Result`. `IsSolved` must delegate to the provided strategy. Acceptance Criteria: 1. `ApplyMove` correctly updates state for valid moves and returns `Result.Success`. 2. `ApplyMove` does not change state for invalid moves and returns `Result.Failure`. 3. `IsSolved` correctly calls `evaluator.IsGoalMet(this)`.","Development","Backlog","Critical","dev2@project.com","pm@project.com","",2.6,"AggregateRoot,DDD,US-103","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Puzzles/Aggregates/Puzzle.cs","Assumptions: A simple `Result` class/struct is available from SharedKernel or will be created. Verification: Code review and successful unit test execution by TASK-DOM-103c. Risks Mitigated: [].","US-103","TASK-DOM-103a","2024-05-15 10:00","2024-05-15 10:00","C#,Domain-Driven Design"
"Unit Test Puzzle aggregate root","Write comprehensive xUnit tests for the `Puzzle` class. Test `ApplyMove` with valid and invalid moves, ensuring state changes correctly. Test `IsSolved` delegation. Crucially, test that `GetGridState` returns a non-modifiable view of the grid. Acceptance Criteria: 1. Unit test file `PuzzleTests.cs` is created. 2. Tests for `ApplyMove` cover valid and invalid scenarios, checking grid state and move history. 3. Test confirms that modifying the object returned by `GetGridState` does not affect the aggregate's internal state. 4. All tests pass in the CI pipeline.","Testing","Backlog","Critical","dev2@project.com","pm@project.com","",4.7,"UnitTest,QA,US-103","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Puzzles/Aggregates/PuzzleTests.cs","Assumptions: []. Verification: Code review and successful test execution in CI. Risks Mitigated: [].","US-103","TASK-DOM-103b","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit"
"Define Generation Interfaces and DTOs","Create the interface files `IPuzzleGenerator.cs` and `ISolvabilityValidator.cs`. Create the DTO record file `DifficultyProfile.cs`. Also create the `GenerationResult.cs` class DTO. Acceptance Criteria: 1. All four files are created in their correct namespaces. 2. Interface and record/class definitions match the SDS. 3. Code compiles.","Development","Backlog","Critical","dev1@project.com","pm@project.com","",2,"Interface,DTO,US-201","Sprint 1","Procedural Puzzle Generation and Validation","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Generation/Interfaces/IPuzzleGenerator.cs, src/PatternCipher.Domain/Generation/Interfaces/ISolvabilityValidator.cs, src/PatternCipher.Domain/Generation/ValueObjects/DifficultyProfile.cs, src/PatternCipher.Domain/Generation/ValueObjects/GenerationResult.cs","Assumptions: []. Verification: Code review. Risks Mitigated: [].","US-201","","2024-05-15 10:00","2024-05-15 10:00","C#"
"Research & Design A* Solver","Create a small, timeboxed proof-of-concept for the A* solver. Focus on choosing the right data structures (e.g., Priority Queue for the open set) and defining the search node state representation. This task is intended to de-risk the main implementation. Acceptance Criteria: 1. A design document or PoC code is produced. 2. The chosen data structures for open and closed sets are justified. 3. The structure of a search node (representing a grid state) is defined.","Development","Backlog","Critical","dev1@project.com","pm@project.com","",4,"Algorithm,Spike,US-202","Sprint 1","Procedural Puzzle Generation and Validation","GameplayLogicEndpoints (REPO-PATT-002)","Design document/notes or PoC code.","Assumptions: []. Verification: Peer review of the proposed design. Risks Mitigated: Timebox this activity to prevent analysis paralysis.","US-202","TASK-GEN-201a,TASK-DOM-102b","2024-05-15 10:00","2024-05-15 10:00","C#,Algorithm Design"
"Implement A* Core Data Structures and Heuristic","Implement the `AStarSolver` class structure, its search node representation, and the heuristic function (h(n)). For 'Direct Match', the heuristic is the total Manhattan distance of all mismatched tiles. Acceptance Criteria: 1. `AStarSolver.cs` and its internal `Node` class are created. 2. The heuristic function is implemented and independently testable. 3. Unit tests for the heuristic function pass for various grid states.","Development","Backlog","Critical","dev1@project.com","pm@project.com","",4.2,"Algorithm,US-202","Sprint 1","Procedural Puzzle Generation and Validation","GameplayLogicEndpoints (REPO-PATT-002)","Partial implementation of `AStarSolver.cs`, Unit tests for the heuristic function.","Assumptions: []. Verification: Code review and successful unit test execution. Risks Mitigated: Isolate heuristic logic for focused TDD.","US-202","TASK-GEN-202a","2024-05-15 10:00","2024-05-15 10:00","C#,Algorithm Design"
"Implement A* Search Loop and Neighbor Generation","Implement the main search loop of the A* algorithm, including management of the open and closed sets. Implement the logic to generate all valid neighboring grid states from a given state. Acceptance Criteria: 1. The main `while (openSet.Count > 0)` loop is implemented. 2. Logic for adding/removing nodes from open/closed sets is correct. 3. Neighbor generation correctly applies all valid moves to a grid state to produce new nodes.","Development","Backlog","Critical","dev1@project.com","pm@project.com","",8.5,"Algorithm,Performance,US-202","Sprint 1","Procedural Puzzle Generation and Validation","GameplayLogicEndpoints (REPO-PATT-002)","Partial implementation of `AStarSolver.cs`","Assumptions: A performant Priority Queue implementation is available. Verification: Code review and successful integration test (TASK-QA-404a). Risks Mitigated: Pair programming is highly recommended. Implement performance benchmarks early.","US-202","TASK-GEN-202b","2024-05-15 10:00","2024-05-15 10:00","C#,Algorithm Design"
"Implement A* Path Reconstruction","Once the goal node is found by the search loop, implement the logic to trace back through the `cameFrom` links of the nodes to reconstruct the sequence of moves that forms the optimal `SolutionPath`. Acceptance Criteria: 1. The path reconstruction logic is implemented. 2. It correctly builds a `List<Move>` in the correct (forward) order. 3. It wraps the result in a `SolutionPath` object.","Development","Backlog","Critical","dev1@project.com","pm@project.com","",3.2,"Algorithm,US-202","Sprint 1","Procedural Puzzle Generation and Validation","GameplayLogicEndpoints (REPO-PATT-002)","Completed `AStarSolver.cs`","Assumptions: []. Verification: Code review and successful integration test (TASK-QA-404a). Risks Mitigated: [].","US-202","TASK-GEN-202c","2024-05-15 10:00","2024-05-15 10:00","C#"
"Integration Test AStarSolver with known puzzles","Create a set of small, hand-crafted puzzle grid states with known optimal solutions and known unsolvable states. Write an integration test that runs the `AStarSolver` against these states and asserts that it returns the correct solvability status and optimal path length. Acceptance Criteria: 1. Test class `AStarSolverTests.cs` is created. 2. Tests pass for both solvable and unsolvable pre-defined puzzles. 3. The returned `SolutionPath` for solvable puzzles matches the known optimal path.","Testing","Backlog","Critical","dev2@project.com","pm@project.com","",8.3,"IntegrationTest,QA,Algorithm,US-404","Sprint 2","Procedural Puzzle Generation and Validation","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Generation/AStarSolverTests.cs","Assumptions: []. Verification: Code review and successful test execution in CI. Risks Mitigated: Start with very simple 2x2 puzzles and gradually increase complexity.","US-404","TASK-GEN-202d","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit"
"Implement PuzzleGenerator service","Implement the `PuzzleGenerator` service. It will use a reverse-shuffle strategy: start with a solved grid, apply a number of random valid reverse moves based on `DifficultyProfile`, and create the `idealSolutionPath`. It will then call the `ISolvabilityValidator` to confirm solvability and get the true 'par' value. Implement the retry loop for when a puzzle is too simple or found to be unsolvable. Acceptance Criteria: 1. `PuzzleGenerator.cs` is implemented. 2. The `Generate` method correctly orchestrates the generation strategy and solvability validation. 3. The retry loop correctly re-generates puzzles that do not meet the `DifficultyProfile.MinimumSolutionMoves`.","Development","Backlog","Critical","dev1@project.com","pm@project.com","",8.5,"DomainService,Orchestration,US-203","Sprint 2","Procedural Puzzle Generation and Validation","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Generation/Services/PuzzleGenerator.cs","Assumptions: []. Verification: Code review and successful integration test (TASK-QA-404b). Risks Mitigated: Start with a simple generation strategy and add complexity later. Log any failed generation attempts with their seed for debugging.","US-203","TASK-GEN-201a,TASK-GEN-202d","2024-05-15 10:00","2024-05-15 10:00","C#,Algorithm Design"
"Integration Test PuzzleGenerator end-to-end flow","Write a full end-to-end integration test for the `PuzzleGenerator`. The test will call `Generate` with a specific `DifficultyProfile`. It will then assert that the returned puzzle is not null, is solvable (by calling the solver again on it), and that its `par` meets the difficulty constraints. This test may need to be marked as long-running. Acceptance Criteria: 1. Test class `PuzzleGeneratorTests.cs` is created. 2. Test calls `Generate` and asserts the result is a valid, solvable puzzle. 3. Test asserts `result.Puzzle.Solution.Par` is >= `difficulty.MinimumSolutionMoves`. 4. Test runs reliably in CI without timing out.","Testing","Backlog","Critical","dev2@project.com","pm@project.com","",8.2,"IntegrationTest,QA,US-404","Sprint 2","Procedural Puzzle Generation and Validation","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Generation/PuzzleGeneratorTests.cs","Assumptions: []. Verification: Code review and successful test execution in CI. Risks Mitigated: Implement property-based testing to run the generator hundreds of times with different inputs.","US-404","TASK-GEN-203a,TASK-QA-404a","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit"
"Define IGoalEvaluationStrategy interface","Create the `IGoalEvaluationStrategy.cs` file and define the interface with the `PuzzleType` property and `IsGoalMet` method as specified in the SDS. Acceptance Criteria: 1. `IGoalEvaluationStrategy.cs` is created in the correct namespace. 2. Interface definition matches the SDS. 3. Code compiles.","Development","Backlog","High","dev2@project.com","pm@project.com","",1,"Interface,StrategyPattern,US-301","Sprint 2","Gameplay Mechanics and Rules Engine","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Evaluation/Interfaces/IGoalEvaluationStrategy.cs","Assumptions: []. Verification: Code review. Risks Mitigated: [].","US-301","","2024-05-15 10:00","2024-05-15 10:00","C#"
"Implement DirectMatchGoalEvaluator","Create the `DirectMatchGoalEvaluator.cs` class. Implement the `IGoalEvaluationStrategy` interface. The `IsGoalMet` method should iterate through the puzzle's grid and compare each tile's symbol with the goal grid, failing fast on any mismatch. Acceptance Criteria: 1. `DirectMatchGoalEvaluator.cs` is implemented and implements the interface. 2. `IsGoalMet` returns true for perfect matches and false otherwise.","Development","Backlog","High","dev2@project.com","pm@project.com","",3,"StrategyPattern,US-302","Sprint 2","Gameplay Mechanics and Rules Engine","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Evaluation/Strategies/DirectMatchGoalEvaluator.cs","Assumptions: The `puzzle.Goal` can be safely cast to `DirectMatchGoal` which contains a `TargetGrid`. Verification: Code review and unit test execution by TASK-MECH-302b. Risks Mitigated: [].","US-302","TASK-MECH-301a,TASK-DOM-103a","2024-05-15 10:00","2024-05-15 10:00","C#"
"Unit Test DirectMatchGoalEvaluator","Write xUnit tests for the `DirectMatchGoalEvaluator`. Create test puzzles with grids that match, almost match, and do not match the goal, and assert the correct boolean result. Acceptance Criteria: 1. `DirectMatchGoalEvaluatorTests.cs` is created. 2. Tests cover scenarios for solved, unsolved, and edge-case grids. 3. All tests pass in the CI pipeline.","Testing","Backlog","High","dev2@project.com","pm@project.com","",3.4,"UnitTest,QA,US-302","Sprint 2","Gameplay Mechanics and Rules Engine","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Evaluation/Strategies/DirectMatchGoalEvaluatorTests.cs","Assumptions: []. Verification: Code review and successful test execution in CI. Risks Mitigated: [].","US-302","TASK-MECH-302a","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit"
"Implement RuleBasedGoalEvaluator","Create the `RuleBasedGoalEvaluator.cs` class. The `IsGoalMet` method should cast the puzzle's goal to `RuleBasedGoal`, retrieve the list of `IPuzzleRule` objects, and return true only if every rule's `IsSatisfiedBy` method returns true. Acceptance Criteria: 1. `RuleBasedGoalEvaluator.cs` is implemented and implements the interface. 2. `IsGoalMet` returns true if all rules pass, and false if any one rule fails.","Development","Backlog","High","dev2@project.com","pm@project.com","",3.8,"StrategyPattern,CompositePattern,US-303","Sprint 2","Gameplay Mechanics and Rules Engine","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Evaluation/Strategies/RuleBasedGoalEvaluator.cs","Assumptions: The `IPuzzleRule` interface and `RuleBasedGoal` are defined in SharedKernel. Verification: Code review and unit test execution by TASK-MECH-303b. Risks Mitigated: Hold joint design session to finalize SharedKernel interfaces.","US-303","TASK-MECH-301a,TASK-DOM-103a","2024-05-15 10:00","2024-05-15 10:00","C#"
"Unit Test RuleBasedGoalEvaluator","Write xUnit tests for the `RuleBasedGoalEvaluator`. Use mock `IPuzzleRule` objects to test the evaluator's orchestration logic. Test cases should include: no rules, one passing rule, multiple passing rules, one failing rule, multiple failing rules. Acceptance Criteria: 1. `RuleBasedGoalEvaluatorTests.cs` is created. 2. Tests using mock rules confirm the evaluator's logic is correct. 3. All tests pass in the CI pipeline.","Testing","Backlog","High","dev2@project.com","pm@project.com","",3.8,"UnitTest,QA,US-303","Sprint 2","Gameplay Mechanics and Rules Engine","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Evaluation/Strategies/RuleBasedGoalEvaluatorTests.cs","Assumptions: A mocking framework like Moq or NSubstitute is used. Verification: Code review and successful test execution in CI. Risks Mitigated: [].","US-303","TASK-MECH-303a","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit,Moq"
"Implement ScoringService","Create the stateless `ScoringService.cs` class. Implement the `CalculateEfficiencyBonus` method according to the formula specified in the SDS, using the puzzle's par value and the moves taken. Acceptance Criteria: 1. `ScoringService.cs` is implemented. 2. The `CalculateEfficiencyBonus` method correctly implements the specified scoring formula.","Development","Backlog","High","dev2@project.com","pm@project.com","",2,"DomainService,US-304","Sprint 2","Gameplay Mechanics and Rules Engine","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Scoring/Services/ScoringService.cs","Assumptions: The scoring formula is finalized and will not change during implementation. Verification: Code review and unit test execution by TASK-MECH-304b. Risks Mitigated: [].","US-304","TASK-DOM-101c","2024-05-15 10:00","2024-05-15 10:00","C#"
"Unit Test ScoringService","Write xUnit tests for the `ScoringService`. Test with various inputs for `par` and `movesTaken`: moves < par, moves == par, moves > par. Acceptance Criteria: 1. `ScoringServiceTests.cs` is created. 2. Tests cover all branches of the scoring logic. 3. All tests pass in the CI pipeline.","Testing","Backlog","High","dev2@project.com","pm@project.com","",2.5,"UnitTest,QA,US-304","Sprint 2","Gameplay Mechanics and Rules Engine","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Scoring/Services/ScoringServiceTests.cs","Assumptions: []. Verification: Code review and successful test execution in CI. Risks Mitigated: [].","US-304","TASK-MECH-304a","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit"
